Model,Seed,Mean Distance
IRP-Agent,1234,12.979601860046387
IRP-Random-Agent,1234,26.121633529663086
IRP-Agent,1234,13.711251258850098
IRP-Random-Agent,1234,27.73968505859375
IRP-Agent,1234,11.943082809448242
IRP-Random-Agent,1234,24.812541961669922
IRP-Agent,1234,11.203475952148438
IRP-Random-Agent,1234,25.782638549804688
IRP-Agent,1234,10.06951904296875
IRP-Random-Agent,1234,23.223161697387695
IRP-Agent,1234,11.669276237487793
IRP-Random-Agent,1234,24.90406036376953
IRP-Agent,1234,11.39404582977295
IRP-Random-Agent,1234,21.8111629486084
IRP-Agent,1234,13.193458557128906
IRP-Random-Agent,1234,28.702411651611328
IRP-Agent,1234,13.534530639648438
IRP-Random-Agent,1234,25.943082809448242
IRP-Agent,1234,10.353458404541016
IRP-Random-Agent,1234,25.078777313232422
IRP-Agent,1234,8.950528144836426
IRP-Random-Agent,1234,22.461925506591797
IRP-Agent,1234,10.10122299194336
IRP-Random-Agent,1234,21.836467742919922
IRP-Agent,1234,11.838031768798828
IRP-Random-Agent,1234,24.306041717529297
IRP-Agent,1234,11.991145133972168
IRP-Random-Agent,1234,29.678924560546875
IRP-Agent,1234,11.446005821228027
IRP-Random-Agent,1234,23.52943229675293
IRP-Agent,1234,11.86220932006836
IRP-Random-Agent,1234,22.697603225708008
IRP-Agent,1234,11.521668434143066
IRP-Random-Agent,1234,26.883045196533203
IRP-Agent,1234,11.576336860656738
IRP-Random-Agent,1234,25.098121643066406
IRP-Agent,1234,11.070157051086426
IRP-Random-Agent,1234,23.425758361816406
IRP-Agent,1234,11.809867858886719
IRP-Random-Agent,1234,27.315107345581055
IRP-Agent,1234,12.60572624206543
IRP-Random-Agent,1234,24.328128814697266
IRP-Agent,1234,12.142888069152832
IRP-Random-Agent,1234,23.573638916015625
IRP-Agent,1234,13.673905372619629
IRP-Random-Agent,1234,29.265518188476562
IRP-Agent,1234,11.526326179504395
IRP-Random-Agent,1234,25.936595916748047
IRP-Agent,1234,14.977669715881348
IRP-Random-Agent,1234,28.70330810546875
IRP-Agent,1234,12.459748268127441
IRP-Random-Agent,1234,22.90086555480957
IRP-Agent,1234,11.899920463562012
IRP-Random-Agent,1234,24.442888259887695
IRP-Agent,1234,10.467610359191895
IRP-Random-Agent,1234,24.24385643005371
IRP-Agent,1234,10.304950714111328
IRP-Random-Agent,1234,24.028846740722656
IRP-Agent,1234,11.836270332336426
IRP-Random-Agent,1234,22.627260208129883
IRP-Agent,1234,10.714383125305176
IRP-Random-Agent,1234,21.80704689025879
IRP-Agent,1234,11.473331451416016
IRP-Random-Agent,1234,22.394821166992188
IRP-Agent,1234,9.32661247253418
IRP-Random-Agent,1234,20.099559783935547
IRP-Agent,1234,11.092667579650879
IRP-Random-Agent,1234,22.519433975219727
IRP-Agent,1234,13.246309280395508
IRP-Random-Agent,1234,25.885671615600586
IRP-Agent,1234,12.969904899597168
IRP-Random-Agent,1234,26.23603630065918
IRP-Agent,1234,12.59121036529541
IRP-Random-Agent,1234,27.282440185546875
IRP-Agent,1234,12.044929504394531
IRP-Random-Agent,1234,25.840068817138672
IRP-Agent,1234,10.584763526916504
IRP-Random-Agent,1234,23.657495498657227
IRP-Agent,1234,13.149373054504395
IRP-Random-Agent,1234,26.200439453125
IRP-Agent,1234,11.126320838928223
IRP-Random-Agent,1234,22.808622360229492
IRP-Agent,1234,11.906028747558594
IRP-Random-Agent,1234,24.65068244934082
IRP-Agent,1234,11.514958381652832
IRP-Random-Agent,1234,25.0706729888916
IRP-Agent,1234,10.134662628173828
IRP-Random-Agent,1234,23.131641387939453
IRP-Agent,1234,9.335304260253906
IRP-Random-Agent,1234,21.39176368713379
IRP-Agent,1234,15.115188598632812
IRP-Random-Agent,1234,29.18062973022461
IRP-Agent,1234,13.474245071411133
IRP-Random-Agent,1234,27.228105545043945
IRP-Agent,1234,10.529985427856445
