Model,Seed,Mean Distance
TSP-Agent,1234,4.0573930740356445
TSP-Random-Agent,1234,10.483916282653809
TSP-Agent,1234,3.793229341506958
TSP-Random-Agent,1234,8.429458618164062
TSP-Agent,1234,3.9359517097473145
TSP-Random-Agent,1234,7.408202648162842
TSP-Agent,1234,4.391781806945801
TSP-Random-Agent,1234,12.553389549255371
TSP-Agent,1234,4.22894287109375
TSP-Random-Agent,1234,9.173677444458008
TSP-Agent,1234,4.927123069763184
TSP-Random-Agent,1234,11.782065391540527
TSP-Agent,1234,4.875116348266602
TSP-Random-Agent,1234,9.675411224365234
TSP-Agent,1234,3.9730937480926514
TSP-Random-Agent,1234,9.462592124938965
TSP-Agent,1234,4.540013313293457
TSP-Random-Agent,1234,10.397031784057617
TSP-Agent,1234,4.1928253173828125
TSP-Random-Agent,1234,8.247973442077637
TSP-Agent,1234,3.231067419052124
TSP-Random-Agent,1234,7.929955005645752
TSP-Agent,1234,3.7693352699279785
TSP-Random-Agent,1234,11.762139320373535
TSP-Agent,1234,4.4903717041015625
TSP-Random-Agent,1234,10.407105445861816
TSP-Agent,1234,4.66962194442749
TSP-Random-Agent,1234,9.962159156799316
TSP-Agent,1234,4.12555456161499
TSP-Random-Agent,1234,9.91379165649414
TSP-Agent,1234,3.901278018951416
TSP-Random-Agent,1234,8.07883358001709
TSP-Agent,1234,4.704494476318359
TSP-Random-Agent,1234,12.398275375366211
TSP-Agent,1234,4.040234088897705
TSP-Random-Agent,1234,10.664976119995117
TSP-Agent,1234,4.703209400177002
TSP-Random-Agent,1234,10.437588691711426
TSP-Agent,1234,5.239601135253906
TSP-Random-Agent,1234,10.635318756103516
TSP-Agent,1234,3.8173584938049316
TSP-Random-Agent,1234,11.257207870483398
TSP-Agent,1234,3.6222333908081055
TSP-Random-Agent,1234,9.810873031616211
TSP-Agent,1234,3.960759162902832
TSP-Random-Agent,1234,8.709456443786621
TSP-Agent,1234,4.159098148345947
TSP-Random-Agent,1234,11.719707489013672
TSP-Agent,1234,3.9748892784118652
TSP-Random-Agent,1234,9.705901145935059
TSP-Agent,1234,4.524259090423584
TSP-Random-Agent,1234,9.562346458435059
TSP-Agent,1234,3.0864274501800537
TSP-Random-Agent,1234,10.020015716552734
TSP-Agent,1234,4.096531391143799
TSP-Random-Agent,1234,9.663813591003418
TSP-Agent,1234,4.444963455200195
TSP-Random-Agent,1234,10.36009693145752
TSP-Agent,1234,3.936563730239868
TSP-Random-Agent,1234,10.440736770629883
TSP-Agent,1234,4.632107734680176
TSP-Random-Agent,1234,10.38931941986084
TSP-Agent,1234,3.8630309104919434
TSP-Random-Agent,1234,9.465067863464355
TSP-Agent,1234,5.217480659484863
TSP-Random-Agent,1234,10.193264961242676
TSP-Agent,1234,4.478238105773926
TSP-Random-Agent,1234,11.346099853515625
TSP-Agent,1234,4.510345935821533
TSP-Random-Agent,1234,9.746869087219238
TSP-Agent,1234,5.133244037628174
TSP-Random-Agent,1234,9.751194953918457
TSP-Agent,1234,4.580430030822754
TSP-Random-Agent,1234,11.746805191040039
TSP-Agent,1234,3.9709479808807373
TSP-Random-Agent,1234,10.448776245117188
TSP-Agent,1234,3.9476263523101807
TSP-Random-Agent,1234,10.552536964416504
TSP-Agent,1234,3.809107780456543
TSP-Random-Agent,1234,10.310098648071289
TSP-Agent,1234,4.155768871307373
TSP-Random-Agent,1234,9.0533447265625
TSP-Agent,1234,4.244749546051025
TSP-Random-Agent,1234,7.5693793296813965
TSP-Agent,1234,4.36002779006958
TSP-Random-Agent,1234,8.686848640441895
TSP-Agent,1234,3.616917610168457
TSP-Random-Agent,1234,8.945263862609863
TSP-Agent,1234,4.353425979614258
TSP-Random-Agent,1234,11.183001518249512
TSP-Agent,1234,4.5833611488342285
TSP-Random-Agent,1234,9.792011260986328
TSP-Agent,1234,4.4716949462890625
TSP-Random-Agent,1234,9.510566711425781
TSP-Agent,1234,4.104559898376465
TSP-Random-Agent,1234,8.786789894104004
TSP-Agent,1234,4.282210350036621
TSP-Random-Agent,1234,8.289480209350586
TSP-Agent,1234,4.168330192565918
TSP-Random-Agent,1234,8.389106750488281
TSP-Agent,1234,4.515604496002197
TSP-Random-Agent,1234,10.431260108947754
TSP-Agent,1234,4.372263431549072
TSP-Random-Agent,1234,9.67380428314209
TSP-Agent,1234,3.7553539276123047
TSP-Random-Agent,1234,13.231172561645508
TSP-Agent,1234,4.132699966430664
TSP-Random-Agent,1234,10.239933013916016
TSP-Agent,1234,4.792834281921387
TSP-Random-Agent,1234,10.207261085510254
TSP-Agent,1234,3.257906675338745
TSP-Random-Agent,1234,10.310087203979492
TSP-Agent,1234,4.473422527313232
TSP-Random-Agent,1234,10.67346477508545
TSP-Agent,1234,3.9520950317382812
TSP-Random-Agent,1234,9.130086898803711
TSP-Agent,1234,4.291888236999512
TSP-Random-Agent,1234,9.537670135498047
TSP-Agent,1234,4.3481764793396
TSP-Random-Agent,1234,11.556118965148926
TSP-Agent,1234,4.130175590515137
TSP-Random-Agent,1234,9.048439025878906
TSP-Agent,1234,4.074809551239014
TSP-Random-Agent,1234,9.366447448730469
TSP-Agent,1234,4.2047319412231445
TSP-Random-Agent,1234,11.00389575958252
TSP-Agent,1234,3.3684823513031006
TSP-Random-Agent,1234,8.558056831359863
TSP-Agent,1234,3.889968156814575
TSP-Random-Agent,1234,10.450760841369629
TSP-Agent,1234,4.89216423034668
TSP-Random-Agent,1234,10.82251262664795
TSP-Agent,1234,3.777543544769287
TSP-Random-Agent,1234,8.189849853515625
TSP-Agent,1234,4.776564598083496
TSP-Random-Agent,1234,10.890304565429688
TSP-Agent,1234,4.18147611618042
TSP-Random-Agent,1234,10.361174583435059
TSP-Agent,1234,3.628981590270996
TSP-Random-Agent,1234,9.723071098327637
TSP-Agent,1234,4.755162715911865
TSP-Random-Agent,1234,9.831191062927246
TSP-Agent,1234,4.742590427398682
TSP-Random-Agent,1234,10.153039932250977
TSP-Agent,1234,4.020418643951416
TSP-Random-Agent,1234,9.055436134338379
TSP-Agent,1234,4.580826759338379
TSP-Random-Agent,1234,9.78442668914795
TSP-Agent,1234,5.313522815704346
TSP-Random-Agent,1234,12.469232559204102
TSP-Agent,1234,4.668571472167969
TSP-Random-Agent,1234,10.01754093170166
TSP-Agent,1234,3.889779806137085
TSP-Random-Agent,1234,11.239435195922852
TSP-Agent,1234,3.8412046432495117
TSP-Random-Agent,1234,9.778440475463867
TSP-Agent,1234,3.7402443885803223
TSP-Random-Agent,1234,7.752757549285889
TSP-Agent,1234,3.810542345046997
TSP-Random-Agent,1234,10.856037139892578
TSP-Agent,1234,4.266323089599609
TSP-Random-Agent,1234,7.416349411010742
TSP-Agent,1234,3.892322301864624
TSP-Random-Agent,1234,8.698614120483398
TSP-Agent,1234,3.9623775482177734
TSP-Random-Agent,1234,11.330034255981445
TSP-Agent,1234,4.1690778732299805
TSP-Random-Agent,1234,9.671660423278809
TSP-Agent,1234,3.8399479389190674
TSP-Random-Agent,1234,9.170904159545898
TSP-Agent,1234,4.699300289154053
TSP-Random-Agent,1234,10.652512550354004
TSP-Agent,1234,4.113977909088135
TSP-Random-Agent,1234,9.729930877685547
TSP-Agent,1234,3.8616201877593994
TSP-Random-Agent,1234,7.838134288787842
TSP-Agent,1234,4.599923133850098
TSP-Random-Agent,1234,12.174351692199707
TSP-Agent,1234,3.975623846054077
TSP-Random-Agent,1234,9.76829719543457
TSP-Agent,1234,4.777111053466797
TSP-Random-Agent,1234,10.71328067779541
TSP-Agent,1234,4.044796466827393
TSP-Random-Agent,1234,9.553911209106445
TSP-Agent,1234,4.465112209320068
TSP-Random-Agent,1234,8.50000286102295
TSP-Agent,1234,3.4578728675842285
TSP-Random-Agent,1234,8.433938980102539
TSP-Agent,1234,4.9044904708862305
TSP-Random-Agent,1234,10.359830856323242
TSP-Agent,1234,4.36948299407959
TSP-Random-Agent,1234,8.43087387084961
TSP-Agent,1234,4.682719707489014
TSP-Random-Agent,1234,8.844369888305664
TSP-Agent,1234,4.963106155395508
TSP-Random-Agent,1234,10.9806547164917
TSP-Agent,1234,3.471601724624634
TSP-Random-Agent,1234,9.155423164367676
TSP-Agent,1234,3.834460973739624
TSP-Random-Agent,1234,8.677483558654785
TSP-Agent,1234,3.1695826053619385
TSP-Random-Agent,1234,7.611540794372559
TSP-Agent,1234,3.547321319580078
TSP-Random-Agent,1234,11.204136848449707
TSP-Agent,1234,4.1883673667907715
TSP-Random-Agent,1234,10.5712308883667
TSP-Agent,1234,4.687143802642822
TSP-Random-Agent,1234,9.793975830078125
TSP-Agent,1234,4.153844833374023
TSP-Random-Agent,1234,9.059062004089355
TSP-Agent,1234,4.607052326202393
TSP-Random-Agent,1234,10.722183227539062
TSP-Agent,1234,4.063880443572998
TSP-Random-Agent,1234,9.349909782409668
TSP-Agent,1234,4.299617290496826
TSP-Random-Agent,1234,7.732434272766113
TSP-Agent,1234,3.6035149097442627
TSP-Random-Agent,1234,9.373584747314453
TSP-Agent,1234,5.031237602233887
TSP-Random-Agent,1234,10.793344497680664
TSP-Agent,1234,4.671980381011963
TSP-Random-Agent,1234,9.953554153442383
TSP-Agent,1234,4.671606063842773
TSP-Random-Agent,1234,10.428089141845703
TSP-Agent,1234,3.7705788612365723
TSP-Random-Agent,1234,10.148285865783691
TSP-Agent,1234,4.650393009185791
TSP-Random-Agent,1234,9.992318153381348
TSP-Agent,1234,3.6512625217437744
TSP-Random-Agent,1234,11.613354682922363
TSP-Agent,1234,5.006181240081787
TSP-Random-Agent,1234,11.517690658569336
TSP-Agent,1234,4.111612319946289
TSP-Random-Agent,1234,11.34222412109375
TSP-Agent,1234,4.588021755218506
